Name,Nationality,Club,Position,DoB,Age,Height,Appearances,Goals,Assists
Terry Ablade,Finland,,Forward,12/10/2001,0,0,0,0,0
Adam Wharton,England,Crystal Palace,Midfielder,02/06/2004 ,19,182,1,0,0
Tyler Adams,United States,Bournemouth,Midfielder,14/02/1999 ,24,173,24,0,0
Elijah Adebayo,England,Luton Town,Forward,07/01/1998 ,26,193,22,9,0
Simon Adingra,Cote D’Ivoire,Brighton & Hove Albion,Forward,01/01/2002 ,22,175,17,4,1
Adler Nascimento,Portugal,,Forward,25/11/2004,0,0,0,0,0
Daniel Adu-Adjei,England,,Midfielder,21/06/2005,0,177,0,0,0
Brandon Aguilera,Costa Rica,,Midfielder,28/06/2003,0,179,1,0,0
Enock Agyei,Belgium,Burnley,Forward,13/01/2005 ,19,172,0,0,0
Naouirou Ahamada,France,Crystal Palace,Midfielder,29/03/2002 ,21,183,20,0,0
Thiago Alcântara,Spain,Liverpool,Midfielder,11/04/1991 ,32,174,68,2,4
